genre	dataset	year	sid	score	sentence1	sentence2
main-captions	images	2015	0904	0.40	Elleri çene üzerinde bir kadın ve erkek bir Noel ağacının yanında duruyor.	Beyaz sakallı, mavi şapkalı adam bir atölyenin girişinde duruyor.
main-captions	images	2015	0905	1.20	Siyah beyaz köpeğin pençelerinde bir sopa var.	Siyah bir köpek ve beyaz bir köpek karda duruyor.
main-captions	images	2015	0906	1.40	Karda koşan beyaz bir köpek	Siyah beyaz köpek çimlerin arasından geçiyor.
main-captions	images	2015	0909	0.60	Arka planda dağlar ve karla kaplı bir tepede kayaklar üzerinde bir adam	Bir köpek suda dağlar ve arka planda kumla boğuşmaktan hoşlanır.
main-captions	images	2015	0918	1.20	Bisikletli bir adam nehre yuva yapıyor.	Bisikletli bir adam çok yükseğe zıplar.
main-captions	images	2015	0927	0.40	Karlı tepeden aşağı giden bir kayakçı.	Kahverengi bir köpek karda yatıyor.
main-captions	images	2015	0928	3.60	Çimlerde iki köpek koşuyor.	Toprakta koşan iki köpek
main-captions	images	2015	0930	0.60	Bir adam sahilde uzun bir hortumdan sıvı püskürtüyor.	Bir adam havada tek tekerleği ile bisikletinde oturuyor.
main-captions	images	2015	0935	2.20	Kırmızı yelekli bir kişi, başka bir kişinin üzerindeki mavi buz patenine dokunuyor.	Bir bayan karda birinin buz patenini bağlar.
main-captions	images	2015	0938	4.80	Bir kız bir trambolinde baş aşağı zıplıyor.	Bir kız bir trambolinde başının üzerinde zıplıyor.
main-captions	images	2015	0946	2.00	Ağaçların önünde duran ve gülümseyen bir kadın.	Bir adam şehir siluetinin önünde ağaçların yanında yürüyor.
main-captions	images	2015	0952	2.40	Yüzme havuzuna ters çeviren bir çocuk.	Kırmızı ve mavi mayo giyen bir çocuk önce yüzme havuzuna atlıyor.
main-captions	images	2015	0953	4.20	üç küçük çocuk kendilerini baloncuklarla kapatır.	Havuz kenarında duran üç çocuk köpük köpükleriyle kaplıdır.
main-captions	images	2015	0954	0.20	Başka bir kız onları görmezden gelirken oğlan kıza bakıyor.	Çift seyrederken çocuk havuza dalar.
main-captions	images	2015	0960	3.20	Mavi yakalı siyah bir köpek karda koşuyor.	Kırmızı yakalı siyah bir köpek karda oynuyor.
main-captions	images	2015	0964	3.80	Ağaçta bir kuş oturuyor.	Yapraksız bir ağaçta bir kuş oturuyor.
main-captions	images	2015	0965	4.00	Kahverengi bir köpek turuncu bir topu çiğniyor.	Bir köpeğin ağzında turuncu bir top vardır.
main-captions	images	2015	0972	0.60	Topu yakalamak için havaya sıçrayan kahverengi bir köpek.	topu yakalamak için havaya atlayan üç genç kadın.
main-captions	images	2015	0976	3.20	Bir çocuk bir piknik masasından diğerine yürüyor.	Çocuk parkta bir piknik masasından diğerine atlıyor.
main-captions	images	2015	0979	3.00	Karda bir köpek.	Karda iki köpek.
main-captions	images	2015	0981	4.80	Sahil boyunca akan Dalmation.	Bir Dalmation, bir sahil boyunca uzanır.
main-captions	images	2015	0986	5.00	Karda koşan bir köpek.	Karda bir köpek koşuyor.
main-captions	images	2015	0989	2.00	Çimlerin üzerinde dört siyah köpek koşuyor.	Çimenli tarlada bir köpek koşar.
main-captions	images	2015	0990	3.60	Kırmızı ve siyah giyen bir adam kafasıyla bir futbol topuna vuruyor.	Kırmızı çizgili futbol tişörtlü bir adam bir topa doğru gidiyor.
main-captions	images	2015	0991	1.20	Kahverengi bir köpek çimlerde yürüyor.	Bir köpek diğerini bir ağaç tarafından kovalar.
main-captions	images	2015	0999	4.60	Sahilde bir kaykayın üzerine bir bebek yerleştiren bir kadın.	bir kadın sahilde bir kaykay üzerinde küçük bir bebek tutar
main-captions	images	2015	1001	4.00	Siyah bir köpek, açık kahverengi bir köpeğin kulağını eğlenceli bir şekilde ısırıyor.	Siyah bir köpek, oturma odası ortamında başka bir köpeği şakacı bir şekilde ısırır
main-captions	images	2015	1002	4.40	Tazı, su hattında sahilde yürüyor.	Tazı, sakin kıyı boyunca yürüyor.
main-captions	images	2015	1007	5.00	Siyah beyaz köpek çimlerin arasından geçiyor.	Siyah beyaz bir köpek çimlerin arasından koşuyor.
main-captions	images	2015	1010	0.00	Bir tenis topuyla iki köpek karda koşuyor.	Çocuk havada, bisikletiyle bir dublör yapıyor.
main-captions	images	2015	1012	3.20	Siyah bir köpek ağzında bir sopayla çimlerin üzerinde yürüyor.	Siyah köpek ağzında bir oyuncakla çimlerin üzerinde koşuyor.
main-captions	images	2015	1015	3.00	Bir adam şehrin bir caddesinde yaya geçidinde duran bir polise doğru yürüyor.	Bir polis, bir şehirde yaya geçidinde duruyor.
main-captions	images	2015	1020	4.60	Siyah bir köpek ve sokakta oynayan beyaz bir köpek.	Siyah bir köpek ve beyaz bir köpek sokakta birlikte oynuyor.
main-captions	images	2015	1023	3.60	Suda büyük siyah beyaz bir köpek yüzüyor.	Sopa ile siyah beyaz bir köpek çamurlu suda.
main-captions	images	2015	1024	4.20	Kafasında bir kevgir olan küçük bir çocuk palyaço.	Kafasında metal bir kevgir olan bir çocuk.
main-captions	images	2015	1037	0.00	İki inşaat işçisi mola vererek bir kirişin üzerine oturuyor.	Adam asansörün yanına gömleğini giyiyor.
main-captions	images	2015	1038	1.20	Bir adam ve bir kadın gülüyor.	Bir erkek ve bir kadın öpüşür.
main-captions	images	2015	1040	2.83	Bir tarlada koşan siyah, kahverengi ve beyaz bir köpek.	Bir tarlada beyaz ve kahverengi bir köpek koşar.
main-captions	images	2015	1042	4.60	Çocuklar yüzme havuzunda oynarken iki yetişkin erkek onları izliyor.	Yetişkinler bakarken çocuklar havuzda oynarlar.
main-captions	images	2015	1047	0.00	Suya sıçrayan iki çocuk.	İki köpek yatakta birlikte oynar.
main-captions	images	2015	1051	4.60	Kahverengi ve beyaz köpek sığ sularda yürüyor.	Beyaz ve kahverengi bir köpek suda yürüyor gibi görünüyor.
main-captions	images	2015	1052	1.60	Bir kadın toplu taşıma araçlarında okur.	Toplu taşıma araçlarında uyuyakalmış bir adam.
main-captions	images	2015	1054	1.80	İnsanlar arka planda dururken bir bulldog çimenli bir parkta koşuyor.	Bir köpek büyük bir su kütlesinin içinde koşarak sıçratmasına neden oluyor.
main-captions	images	2015	1055	2.20	Bir tuğla yolda bisiklete binen genç bir çocuk	Bir insan ağaçlarla çevrili bir rampada bisikletle numaralar yapar.
main-captions	images	2015	1063	3.80	Genç adam bir paten parkında kaykay yapıyor.	mavi tişörtlü bir çocuk bir paten parkında bir kaykay üzerinde havada asılı.
main-captions	images	2015	1068	4.40	Bir park garaj yakınındaki bir kaldırımda ip atlama bir kız.	Solda bir garaj ile kaldırımda ip atlama bir kız.
main-captions	images	2015	1070	3.00	Güneş batarken sahilde bir kişi suda.	Sudaki sörf tahtasının üzerinde bir kişi.
main-captions	images	2015	1072	4.00	Frizbi yakalamak için havada bir köpek atlar.	Kahverengi köpek pembe bir frizbi için atlar.
main-captions	images	2015	1075	1.00	Köpek oyun oyuncağını sahibine iade eder.	Üç köpek birlikte karda yarışır.
main-captions	images	2015	1078	4.60	İki dişi salıncaktan atlıyor.	İki kız salıncaktan atlıyor.
main-captions	images	2015	1079	0.60	Genç bir kız olan bir kadın, bir mağazanın önünde ayı heykelleriyle poz veriyor.	Formalı bir adam büyük bir kalabalığın önünde duruyor.
main-captions	images	2015	1087	4.40	Çimlerde futbol oynayan gömleksiz bir adam.	Gömleksiz bir adam bir futbolu yakalar
main-captions	images	2015	1088	0.80	Yeşil giyen bir kız elinde bir şeyi büküyor.	Yalnızca yeşil şort giyen genç bir çocuk, tuğla bir arka planla garip bir şekilde poz veriyor.
main-captions	images	2015	1092	0.40	Kırmızı ceketli bir adam fotoğraf için bisikletini tutuyor.	Kırmızı ceketli bir kadın, doğal bir manzarayı videoya çekiyor.
main-captions	images	2015	1093	0.80	Bir çocuk çok kalabalık olmayan halka açık bir havuza atlar.	Bir adam snowboard yaparken atlar.
main-captions	images	2015	1096	0.60	Palyaçolar kameraya poz veriyor.	Turuncu renkli bir çocuk dalgaların içinde bir boogie tahtasında.
main-captions	images	2015	1098	0.00	El ele tutuşan dört çocuk bir yüzme havuzuna atlıyor.	Karda oynayan dört köpek.
main-captions	images	2015	1104	2.80	Bir çocuk iki balkabağıyla bir vagonu iter.	Bir çocuk, içinde iki balkabağı olan bir vagonun arkasında çömeliyor.
main-captions	images	2015	1105	0.00	Yoğun bir maç sırasında iki futbolcu top için savaşır.	İki küçük turuncu ve beyaz köpek karda.
main-captions	images	2015	1111	3.80	Siyah köpek uzun otların arasında yürüyor.	Kara köpek çimlerin arasından koşuyor.
main-captions	images	2015	1116	3.40	Karda oynayan iki siyah köpek.	Siyah bir köpek karda kazıyor.
main-captions	images	2015	1121	5.00	Bir köpek bir zincirin üzerinden atlar.	Zincirin üzerinden sıçrayan bir köpek.
main-captions	images	2015	1125	4.60	Tahta bir bankta oturan siyah çantalı bir kız.	Siyah çantalı genç bir kadın tahta bir bankta oturuyor.
main-captions	images	2015	1129	2.20	Siyah ve sarı bir köpek	Siyah bir köpek ve kahverengi-beyaz bir köpek bir tarlada oynuyor.
main-captions	images	2015	1130	3.40	Bir top havuzunda üç çocuk.	Bir top havuzunda oynayan birkaç çocuk.
main-captions	images	2015	1131	3.60	Büyük beyaz ve gri bir köpek, engelli bir parkurda sarı bir tünelden geçiyor.	Beyaz ve siyah bir köpek, sarı ve turuncu bir tüpten kaçıyor.
main-captions	images	2015	1133	4.80	Bir yüzücü yüzme havuzunda sırtüstü oynuyor.	yüzme havuzunda sırt vuruşunu yapan kişi
main-captions	images	2015	1135	0.00	Bir adam, bir göl kenarındaki kayalık bir yolda bisikletle ata biniyor.	Bir kadın beyaz bir kafa bandı, mor kolsuz bluz ve siyah eldiven giyiyor.
main-captions	images	2015	1136	2.40	Kahverengi bir köpek yeşil çimlerin arasından koşuyor.	Kahverengi bir köpek nehirden koşuyor.
main-captions	images	2015	1139	3.40	Küçük beyaz bir köpek ve büyük kahverengi bir köpek çimlerin üzerinde oynuyor.	Küçük, açık kahverengi bir köpek, çimenlerin arasında duran büyük kahverengi bir köpeğin önünden geçiyor.
main-captions	images	2015	1141	3.40	Bir kadın, bir tarlada başka bir köpek dururken bir köpeği tutar.	Bahçede başka bir köpek oynarken bir köpeği tutan bir bayan.
main-captions	images	2015	1146	2.40	Suda yürüyen siyah bir köpek.	Karda yürüyen iki siyah köpek.
main-captions	images	2015	1148	1.80	Siyah bir köpek karda koşuyor.	Siyah bir köpek ağzında bir topla yüzüyor.
main-captions	images	2015	1149	1.60	Yeşil giyinmiş bir kadın kahverengi köpeğiyle oynuyor.	Bronz bir köpek yatarken bir kızın elini yalar.
main-captions	images	2015	1150	4.60	İki evsiz adam karton bir tabelayla dışarıda duruyor.	Bir karton işaret tutan iki evsiz genç adam.
main-captions	images	2015	1152	3.60	Kahverengi bir köpek suda geziniyor.	Bulanık suya bir köpek sıçradı.
main-captions	images	2015	1154	2.80	Turuncu tişörtlü beyaz kask takan bir adam bisiklete biniyor.	Mavi miğferli adam Polaris kullanıyor.
main-captions	images	2015	1159	1.80	Küçük bir çocuk gülüyor bir düğün önünde duruyor.	Oturan kalabalığın önünde sahnede duran kişi
main-captions	images	2015	1163	3.60	Kar motosikleti kullanan bir kişi.	Orta atlamada kar arabası üzerindeki bir kişi.
main-captions	images	2015	1166	0.80	Adam kıyıda ayakta kürekle topa vuruyor.	Sahilde ipod dinleyen iki genç kız.
main-captions	images	2015	1168	0.40	Üstteki fotoğraf, mola veren iki adamı gösteriyor.	Yüzme şapkası ve nefes alan gözlükleri olan bir kişi.
main-captions	images	2015	1171	4.60	Kum üzerinde birlikte çalışan iki kahverengi köpek	Kumda iki kahverengi köpek koşuyor.
main-captions	images	2015	1175	1.40	Siyah bir köpek kırmızı bir Frizbi peşinde.	Karda siyah bir kaniş koşuyor.
main-captions	images	2015	1177	3.00	At kuyruğu olan iki kız bir eğlence parkına biniyor.	Genç bir kız bir eğlence parkında gezintiye çıkıyor.
main-captions	images	2015	1178	4.20	Kumu kazan bir köpek.	Kahverengi bir köpek kumu kazar.
main-captions	images	2015	1185	0.00	Dükkanların önündeki kaldırımda iki adam oturuyor.	Mayolu bir kadın sahilde bir köpek yürüyor.
main-captions	images	2015	1186	4.60	Siyah ve beyaz benekli bir köpek bir derenin üzerinden atlar.	Siyah beyaz benekli bir köpek küçük su akıntısının üzerinden atlıyor.
main-captions	images	2015	1190	3.00	BMX bisiklet kullanan bir kişi.	Havada bisikletli bir adam
main-captions	images	2015	1191	4.60	Uzun otların arasından koşan iki köpek.	Çimenli bir alanda iki köpek koşuyor.
main-captions	images	2015	1192	1.00	Kırmızı bir topun ardından atlama tasma takan küçük beyaz köpek.	Siyah beyaz bir köpek karda bir sopa döndürür.
main-captions	images	2015	1195	3.20	Bir binanın dışında duran bir grup insan.	Dışarıda büyük bir grup insan bir sıra oluşturdu.
main-captions	images	2015	1197	1.60	Bir arka bahçede dans eden dört çocuklu bir grup.	Bir grup çocuk renkli paspaslar üzerinde uzanıyor.
main-captions	images	2015	1199	4.80	bir grup genç sahilde havada zıplıyor.	Bir grup genç kumsalda havada zıplıyor.
main-captions	images	2015	1202	4.40	Bir çocuk bir maytap etrafında el sallıyor.	Genç bir çocuk havada bir maytap büküyor.
main-captions	images	2015	1207	2.60	Birkaç kişi geceleri ateşin etrafında oturuyor.	Bir grup insan geceleri yerde ayakta duruyor ve oturuyor.
main-captions	images	2015	1209	4.00	Kumsalda iki farklı cins kahverengi ve beyaz köpek oynuyor.	Plajda kumda oynayan iki köpek.
main-captions	images	2015	1211	3.40	Bir erkek ve iki kadın vampir kostümleri giymiş	Bir adam ve iki kadın kostümler giymiş.
main-captions	images	2015	1214	2.40	Oyun alanında biri şapka takan iki çocuk.	Oyun alanı ekipmanlarının yanında otururken kahverengi şapkalı çocuk gülüyor.
main-captions	images	2015	1218	5.00	Karda oynayan iki köpek.	Karda iki köpek oynuyor.
main-captions	images	2015	1220	0.40	Bir kadın, elinde bir çocuk tutan başka bir adam gibi bakarken bir bebeği tutar.	Bir kadın bir mağazada kollarını açarken, başka bir kadın bir kamera tutuyor.
main-captions	images	2015	1221	4.60	Beyaz tüylü bir köpek saf beyaz karda koşuyor.	Karda koşan tüylü, beyaz bir köpek.
main-captions	images	2015	1222	0.00	Bir gazete tutan bir kadın.	Metal bir çubuk üzerinde paten kayan bir adam.
main-captions	images	2015	1223	3.40	Pirinç enstrümanlar çalan bir grup adam.	Bir grup adam dışarıda enstrüman çalıyor.
main-captions	images	2015	1224	0.00	Kıyıda iki kız bir teknede balık tutan insanları izliyor.	Biri kırmızı diğeri beyaz olmak üzere iki erkek basketbol oynuyor.
main-captions	images	2015	1225	4.00	bir snowboardcu havaya atlar.	Bir snowboardcu havada uçar.
main-captions	images	2015	1226	0.60	Kırmızı kulaklı beyaz bir köpek karda koşuyor.	nehirde kırmızı yakalı ıslak siyah bir köpek
main-captions	images	2015	1227	0.40	Küçük bir kız ve küçük bir çocuk parlak bir slaytta el ele tutuşur.	Kumlu bir oyun alanında şal desenli küçük bir kız koşuyor.
main-captions	images	2015	1228	4.20	Çocuklar bir sahada futbol oynuyor.	Bir alanda futbol oynayan üç erkek
main-captions	images	2015	1232	2.80	Bir adam bir çatıdan diğerinin üzerine atlar.	Genç bir adam bir balkondan diğerine atlıyor.
main-captions	images	2015	1234	3.40	Bir çocuk diğerini çekiyor, kırmızı bir vagonda kum boyunca oturuyor.	Genç bir çocuk, radyo broşürü vagonunda aptal bir şapka giyen başka bir çocuğu çeker.
main-captions	images	2015	1245	2.40	Bir baykuşun kanatları gün boyunca yukarı doğru ve yaygındır.	Kuşun uçarken kanatları açılmıştır.
main-captions	images	2015	1246	0.00	Mavi şapkalı bir adam bir ağacın altındaki taburede oturuyor.	Yakınında bir topla sahilde duran bir köpek.
main-captions	images	2015	1248	4.40	Bir kadın, gitar çalan bir adam tarafından mikrofona şarkı söylüyor.	Bir kadın arka planda bir gitar çalan mikrofona şarkı söylüyor.
main-captions	images	2015	1249	2.80	Üç koyun, arkalarında yürüyen bir köpekle çimenli tarlada otladı.	kağıt siyah beyaz bir köpek ile çimenlerin arasında küçük bir grup keçi.
main-captions	images	2015	1250	4.40	bir bisikletçi bisikletini iki kayanın arasına atlatıyor.	Bir adam bisikletini havada iki kaya arasında atlıyor.
main-captions	images	2015	1253	1.80	Arka planda sarı bir bina olan pembe şapkalı genç bir kız.	Elinde bir şey olan pembe elbiseli genç bir kız.
main-captions	images	2015	1254	4.00	Pembe elbiseli bir kız bisikletiyle beyaz bir çit boyunca gidiyor.	Kırmızı elbiseli bir kız bisikletiyle beyaz bir çitin önünde gidiyor.
main-captions	images	2015	1255	1.40	Bazı bitkilerin arkasında kahverengi tüylü bir hayvan duruyor.	Ormanda dururken bir köpek pantolonu.
main-captions	images	2015	1259	1.00	Kırmızı gömlekli bir çocuk, bir plaj dalgasının üzerine sıçramak için siyah bir wake board kullanıyor.	Kayıktaki bir adam mavi suda kürek çekiyor.
main-captions	images	2015	1261	3.40	Bronz ve beyaz köpek tarlada koşuyor.	Kahverengi ve beyaz köpekler tarlada koşuyor.
main-captions	images	2015	1273	0.80	İki genç kız, biri gülümsüyor.	Bir çocuk salıncakta küçük bir kız.
main-captions	images	2015	1278	0.20	Çimlerde etkileşim halindeki iki kuş	İki köpek dışarıda birbirleriyle oynuyor.
main-captions	images	2015	1284	3.40	Karlı bir dağın tepesinde iki yürüyüşçü duruyor.	Etrafa bakan bir dağın tepesinde iki dağcı duruyor.
main-captions	images	2015	1290	4.80	Kırmızı çiçeklerle dolu bir alanda iki çocuk.	Kırmızı çiçeklerle dolu bir alanda iki çocuk oynuyor.
main-captions	images	2015	1291	4.00	Genç bir adam kayalardan bir göle atlar.	Kırmızı mayolu genç bir adam büyük bir kayadan suya atladı.
main-captions	images	2015	1292	3.60	Çimlerin arasında küçük siyah bir köpek var.	Çimlerde siyah bir köpek koşuyor.
main-captions	images	2015	1293	1.00	Kimono giymiş bir bayan kameraya bakıyor.	Siyahlar giymiş iki kız bir odada oturup kameraya müstehcen pozlar veriyor.
main-captions	images	2015	1295	0.00	Bir grup insan sıcak hava balonunu ateşliyor.	Kahverengi ve beyaz atlara binen büyük bir grup insan.
main-captions	images	2015	1300	0.00	Çocuklar kılıçla kavga eder.	Bir çocuk ve ebeveyn bir atı besler.
main-captions	images	2015	1301	1.40	Bir adam okyanusta rüzgarla yelken yapıyor.	Okyanusta bir köpek koşuyor.
main-captions	images	2015	1303	1.40	Toprak yolda yarışan üç köpek	Toprak yolda yarışan arabalar
main-captions	images	2015	1308	1.20	El ele tutuşarak ve bir alanda yürüyen iki kişi.	Bir arabanın duvarından geçen iki adam.
main-captions	images	2015	1311	1.60	Kahverengi bir köpek bir frizbiyi kovalar	Çimlerin üzerinde çömelmiş kahverengi bir köpek.
main-captions	images	2015	1316	5.00	Kırmızı tulum kaldırımda duran kadın.	Kırmızı tulum giymiş bir kadın kaldırımda duruyor.
main-captions	images	2015	1317	2.80	Bir köpek yapraklarla dolu bir arka bahçeden geçiyor.	Üç köpek bir tarladan geçiyor.
main-captions	images	2015	1319	5.00	Çimlerin arasında oynayan iki köpek yavrusu	Çimlerde iki köpek yavrusu
main-captions	images	2015	1322	1.00	Dışarıda iki siyah beyaz köpek birlikte oynuyor.	Karda iki çocuk ve bir siyah köpek oynuyor.
main-captions	images	2015	1323	1.00	Suyun içinden koşan üç köpek.	Suyun içinden akan siyah bir köpek.
main-captions	images	2015	1325	1.20	Bir kadın tuğla duvara tek başına oturuyor	Bir kadın kırmızı bir çantayla yürüyor.
main-captions	images	2015	1331	2.60	Ağzında bir sopa taşıyan kahverengi bir köpek.	Ağzında sopayla yüzen bir köpek.
main-captions	images	2015	1332	0.80	Genç bir kadın yemekte tabağının üzerine eğiliyor.	Boya veya çamur dışında üstsüz genç bir kadın.
main-captions	images	2015	1335	3.80	Bir kişi köpeği takip ederken karlı bir tepeye tırmanır.	Siyah bir köpek takip ederken bir kişi karlı bir tepeye tırmanır.
main-captions	images	2015	1336	2.00	Kumsalda kahverengi bir köpek oturuyor.	Sahilde koşan bir köpek
main-captions	images	2015	1340	5.00	Scuba dalgıç suya batırılmış.	Tüplü dalgıç su altında.
main-captions	images	2015	1341	1.80	Adam toprak bir tepeden aşağı bisiklet sürüyor.	Hileli bir bisikletçi tırabzanı eziyor.
main-captions	images	2015	1342	2.60	Derin karda büyük gri bir köpek oynuyor.	Karda oynayan dört köpek.
main-captions	images	2015	1343	0.80	Okyanus kıyısında sahilde bisiklet süren bir adam.	Yolun kenarında ineğini yürüyen bir adam.
main-captions	images	2015	1345	1.00	Arabada bir köpek.	Bir köpek paspası ısırıyor.
main-captions	images	2015	1348	1.20	Ormanda kameraya doğru yürüyen sarkık kulaklı bir köpek.	Kendi yansımasının önünde kameraya dönüp gülümseyen bir çocuk.
main-captions	images	2015	1350	2.40	Kahverengi bir köpek, suyu silkeleyerek her yere su sıçratıyor.	Beyaz bir köpek kuruyarak titreyen bir nehrin yanında duruyor.
main-captions	images	2015	1356	1.80	Kumsalda siyah beyaz bir köpek koşuyor.	Siyah ve kahverengi köpek karda koşuyor.
main-captions	images	2015	1359	3.40	Pek çok Ortadoğu insanı mavi bir kamyonun arkasında oturuyor.	Bir kamyonun arkasına bir grup insan biniyor.
main-captions	images	2015	1360	4.20	Karlı bir tepeden aşağı kayan iki kayak sopası olan kişi.	Karlı bir tepeden aşağı kayan bir kişi.
main-captions	images	2015	1361	4.60	Bir kadın bir restoranda balık yiyor.	Bir restoranda büyük bir balık yiyen bir kadın.
main-captions	images	2015	1362	2.20	Suda bir çocuk ve iki köpek oynuyor.	Suya bakan kırmızı ve mavi yüzen bir çocuk.
main-captions	images	2015	1363	2.20	Taş duvarda numara yapan bir kaykaycı.	Bir yokuşa giden bir kaykaycı.
main-captions	images	2015	1365	4.60	İnsanlar yukarı çıkan bir yürüyen merdiven üzerinde duruyor.	İnsanlar bir yürüyen merdivene binerler.
main-captions	images	2015	1369	4.20	Bir bayan köpeğini çeviklik kursunda çalıştırıyor.	Eğitmen köpeğini yeşil boruyla eğitim kursunda çalıştırıyor
main-captions	images	2015	1370	1.40	Beyaz ve kahverengi köpek kulaklarını sallıyor.	Kahverengi köpek kumun üzerinde koşuyor.
main-captions	images	2015	1376	0.20	Bazı çocuklar ellerini kaldırıyor ve alkışlıyor.	Üç çocuk kumda futbol oynuyor.
main-captions	images	2015	1380	0.00	Büyük bir balonu üfleyen bir adam.	Büyük siyah bir atı yürüyen bir adam.
main-captions	images	2015	1382	3.80	İki kişi suya yakın bir rıhtımda oturuyor.	Durgun suyun ortasında bir rıhtımın ucunda iki kişi oturuyor.
main-captions	images	2015	1386	4.60	Hokey kalecisi filenin önünde buz üzerinde uzanıyor.	Bir hokey oyuncusu kalenin önünde buzun üzerinde yatıyor.
main-captions	images	2015	1388	1.40	Mavi kar pantolonu giyen bir kayakçı, bir atlama yakınında havada uçuyor.	Bir kayakçı, bir kamera önünde karda ellerinin üzerinde duruyor.
main-captions	images	2015	1390	3.40	Kahverengi köpek çimenli bir patika boyunca koşuyor.	Kahverengi bir köpek, iplerle bölünmüş çimenli bir alanda koşuyor.
main-captions	images	2015	1391	0.00	Kız mavi çizgili bir gömlek ve paten giyiyor.	siyah beyaz gömlek giymiş bir adam bir köpek sırtına atlıyor
main-captions	images	2015	1392	0.00	Beyaz gitar çalıp şarkı söyleyen siyah dövmeli bir adam.	Siyah beyaz ceketli ve kulaklıklı bir kadın.
main-captions	images	2015	1393	1.40	Sahil boyunca koşan bir köpek.	Plaj boyunca koşan kız ve erkek.
main-captions	images	2015	1396	4.60	Dışarıda bir bankta oturan genç bir adam ve kadın öpüşüyor.	Bir bankta oturan adam ve kadın öpüşüyor.
main-captions	images	2015	1397	3.20	Kahverengi bir köpek ağzında yeşil bir kayış yakalamak için zıplıyor.	Gri bir köpek yeşil tasmasını ısırmak için atlar.
main-captions	images	2015	1399	3.20	Çimlerde siyah bir köpek koşuyor.	Çimlerde koşan siyah ve kahverengi bir köpek.
main-captions	images	2015	1406	0.50	Bir kadın kulağına cep telefonuyla kaldırımda oturuyor.	Bir kadın bisikletine biniyor.
main-captions	images	2015	1407	1.20	Üç köpek çimenli bir alanda oynuyor.	Bazı çocuklar bir tarlada oynar.
main-captions	images	2015	1409	3.00	Genç bir çocuk kırmızı top havuzunda oynuyor.	Gülen bir çocuk mavi topların üzerinde yatıyor.
main-captions	images	2015	1412	4.40	Bir dalgada sörfçü.	Bir sörfçü dalgaya biniyor.
main-captions	images	2015	1422	2.40	Kaykaycı rampanın tepesine çıktı.	Kaykaycı, bir patenci parkında boru duvarına biniyor.
main-captions	images	2015	1427	1.00	Devam eden bir yarışmada iki adam.	Bir yarışta köpekler.
main-captions	images	2015	1434	5.00	İki çocuk ormandaki bir yolda yürüyor.	Ormanda bir yolda yürüyen iki çocuk.
main-captions	images	2015	1437	3.40	kahverengi ve beyaz bir köpek çimlerin üzerinde koşuyor.	Bronz ve siyah köpek çimlerin üzerinde koşuyor.
main-captions	images	2015	1440	4.40	Çimlerde yan yana koşan iki köpek.	Çimlerin üzerinde çalışan iki köpek.
main-captions	images	2015	1442	5.00	Kırmızı yangın musluğuna iki köpek işiyor.	Kırmızı yangın musluğuna iki köpek işiyor.
main-captions	images	2015	1449	0.40	Koyu renkli bir rugby oyuncusu, kolu uzatılmış açık renkli bir rugby topu taşıyor.	Kahverengi bir köpek ağzında bir top taşırken suya sıçrıyor.
main-captions	images	2015	1456	1.20	İki kişi suyun içinden geçiyor.	İki kız tuğla bir binanın önünde bir ağacın yanında yürüyor.
main-captions	images	2015	1464	4.00	Suya sıçrayan bir köpek.	Bulanık suya bir köpek sıçradı.
main-captions	images	2015	1468	1.00	Büyük bir şehrin kaldırımında bir grup insan yürüyor.	Bir kamyonun arkasına bir grup insan biniyor.
main-captions	images	2015	1471	1.00	Köpek çimlerin üzerinde havada.	Köpek mavi çarşaflı bir yatakta yatıyor.
main-captions	images	2015	1474	0.00	Siyah bir köpek biraz suyun içinden geçiyor.	Futbol üniformalı bir adam maç sırasında futbolla koşuyor.
main-captions	images	2015	1475	2.00	Kız metroda bir şey bekliyor.	Loş bir alanda bir kız duruyor.
main-captions	images	2015	1477	0.60	Adam parkta küçük bir kızla oturuyor.	Adam, tüylü küçük köpekle oynuyor.
main-captions	images	2015	1478	4.40	Ağzında yeşil bir nesne ile büyük kahverengi bir köpek koşuyor	Bronz köpek ağzında yeşil bir gıcırtılı oyuncak taşıyor.
main-captions	images	2015	1481	0.00	Kıyıya doğru yarışan teknelerde bir grup insan.	Bir sunumu izleyen öğrencilerden oluşan bir sınıf.
main-captions	images	2015	1482	0.60	Bir kişi havada bir rampanın üzerinde kaykay sürüyor.	Bir motorcu, ormanlık bir alanda bulunan bir yol elemanı boyunca ilerliyor.
main-captions	images	2015	1484	0.00	Bir çocuk geceleri metal tırabzandan aşağı kayarak iniyor.	Kumda bir sopa tutan kahverengi bir köpek koşar.
main-captions	images	2015	1486	0.00	Bir kişi kaya yüzündeki bir açıklıktan içeri giriyor.	Orta boy kahverengi bir köpek açık beyaz ormanlık bir alandan geçiyor.
main-captions	images	2015	1488	2.00	Ağzında bir topla kameraya doğru koşan köpek.	Siyah beyaz köpek ağzında kahverengi bir nesneyle yüzüyor.
main-captions	images	2015	1489	4.20	Kumsalda koşan genç bir kız.	Bir plaj kıyısında koşan küçük bir kız.
main-captions	images	2015	1490	1.60	Bir beyzbol oyuncusu topu fırlatır.	Basketbolcu topu tutar.
main-captions	images	2015	1493	3.00	Bir adam su üzerinde bir ip üzerinde sallanıyor.	Kestane rengi mayolu bir adam gölde bir ipe sallanıyor.
